player_name,sample_size,DG_odds,bet365_odds,bet365_ev,betfair_odds,betfair_ev,pointsbet_odds,pointsbet_ev,skybet_odds,skybet_ev,unibet_odds,unibet_ev,draftkings_odds,draftkings_ev,fanduel_odds,fanduel_ev,whill_odds,whill_ev,caesars_odds,caesars_ev,betmgm_odds,betmgm_ev,betonline_odds,betonline_ev,bovada_odds,bovada_ev,betway_odds,betway_ev,betcris_odds,betcris_ev,pinnacle_odds,pinnacle_ev
"Scheffler, Scottie",150,+600,+350,-0.357,+300,-0.428,+300,-0.428,+350,-0.357,+400,-0.286,+300,-0.428,+300,-0.428,,0.00,+300,-0.428,+350,-0.357,+375,-0.321,+400,-0.286,+333,-0.381,,0.00,+420,-0.257
"McIlroy, Rory",150,+613,+400,-0.299,+400,-0.299,+450,-0.229,+450,-0.229,+400,-0.299,+400,-0.299,+450,-0.229,,0.00,+450,-0.229,+425,-0.264,+500,-0.159,+450,-0.229,+350,-0.369,,0.00,+435,-0.250
"Clark, Wyndham",150,+944,+800,-0.138,+700,-0.234,+700,-0.234,+700,-0.234,+700,-0.234,+700,-0.234,+700,-0.234,,0.00,+600,-0.329,+750,-0.186,+550,-0.377,+650,-0.281,+700,-0.234,,0.00,+785,-0.152
"Bradley, Keegan",150,+1354,+1600,0.169,+1400,0.032,+1400,0.032,+1400,0.032,+1600,0.169,+1400,0.032,+1400,0.032,,0.00,+1400,0.032,+1600,0.169,+1400,0.032,+1600,0.169,+1400,0.032,,0.00,+1563,0.144
"Lowry, Shane",150,+1431,+1100,-0.216,+1200,-0.151,+1200,-0.151,+1100,-0.216,+1100,-0.216,+1200,-0.151,+1200,-0.151,,0.00,+1200,-0.151,+1400,-0.020,+1100,-0.216,+1100,-0.216,,0.00,,0.00,+1210,-0.145
"Thomas, Justin",150,+1495,+1600,0.066,+1600,0.066,+1800,0.191,+1600,0.066,+1400,-0.060,+1600,0.066,+1600,0.066,,0.00,+1400,-0.060,+1600,0.066,+1600,0.066,+1400,-0.060,+1600,0.066,,0.00,+1633,0.086
"Morikawa, Collin",150,+1791,+1400,-0.207,+1400,-0.207,+1600,-0.101,+1400,-0.207,+1600,-0.101,+1400,-0.207,+1600,-0.101,,0.00,+1600,-0.101,+1600,-0.101,+1600,-0.101,+1800,0.005,+1400,-0.207,,0.00,+1582,-0.111
"Conners, Corey",150,+2009,+1800,-0.099,+1600,-0.194,+1600,-0.194,+1600,-0.194,+1800,-0.099,+1600,-0.194,+1600,-0.194,,0.00,+1600,-0.194,+1800,-0.099,+2000,-0.004,+1800,-0.099,+1600,-0.194,,0.00,+1934,-0.035
"Bezuidenhout, Christiaan",150,+2577,+2800,0.083,+2500,-0.029,+3300,0.270,+2500,-0.029,+1800,-0.290,+2800,0.083,+3300,0.270,,0.00,+3000,0.158,+2800,0.083,+2500,-0.029,+3000,0.158,+2800,0.083,,0.00,+2775,0.074
"Cantlay, Patrick",150,+2793,+1800,-0.343,+1800,-0.343,+2000,-0.274,+1800,-0.343,+1400,-0.481,+1800,-0.343,+2000,-0.274,,0.00,+2000,-0.274,+1800,-0.343,+2200,-0.205,+2000,-0.274,+1800,-0.343,,0.00,+2057,-0.254
"Aberg, Ludvig",150,+2949,+1600,-0.442,+1800,-0.377,+1800,-0.377,+1600,-0.442,+1600,-0.442,+1800,-0.377,+1800,-0.377,,0.00,+1800,-0.377,+1600,-0.442,+2000,-0.311,+1600,-0.442,+1600,-0.442,,0.00,+1875,-0.352
"Kim, Si Woo",150,+2973,+2800,-0.056,+2500,-0.154,+3000,0.009,+2500,-0.154,+2500,-0.154,+2500,-0.154,+3000,0.009,,0.00,+3000,0.009,+2800,-0.056,+3300,0.107,+3500,0.172,+2500,-0.154,,0.00,+3081,0.035
"Greyserman, Max",150,+3490,+3300,-0.053,+3300,-0.053,+3500,0.003,+3500,0.003,+3300,-0.053,+3000,-0.136,+3500,0.003,,0.00,+3500,0.003,+3500,0.003,+4000,0.142,+3500,0.003,+3300,-0.053,,0.00,+3426,-0.018
"Henley, Russell",150,+4851,+4500,-0.071,+4000,-0.172,+5000,0.030,+4000,-0.172,+3300,-0.313,+4000,-0.172,+5000,0.030,,0.00,+5000,0.030,+4500,-0.071,+5000,0.030,+4500,-0.071,+4000,-0.172,,0.00,+4756,-0.019
"Davis, Cam",150,+5157,+4500,-0.125,+4500,-0.125,+5500,0.065,+5000,-0.030,+5000,-0.030,+4500,-0.125,+5500,0.065,,0.00,+5500,0.065,+4500,-0.125,+5000,-0.030,+4500,-0.125,,0.00,,0.00,+4616,-0.103
"Rose, Justin",150,+8449,+6000,-0.287,+6000,-0.287,+7500,-0.111,+5500,-0.345,+6600,-0.216,+6000,-0.287,+7500,-0.111,,0.00,+7500,-0.111,+5500,-0.345,+5500,-0.345,+6000,-0.287,+5000,-0.403,,0.00,+5467,-0.349
"Finau, Tony",150,+8691,+5000,-0.420,+4500,-0.477,+6000,-0.306,+5000,-0.420,+4500,-0.477,+4500,-0.477,+6000,-0.306,,0.00,+6000,-0.306,+5000,-0.420,+6500,-0.249,+5000,-0.420,+5000,-0.420,,0.00,+7181,-0.172
"Matsuyama, Hideki",150,+8729,+5000,-0.422,+4000,-0.536,+4500,-0.479,+5000,-0.422,+4500,-0.479,+4000,-0.536,+4500,-0.479,,0.00,+4500,-0.479,+4500,-0.479,+5000,-0.422,+5000,-0.422,+3300,-0.615,,0.00,+6696,-0.230
"McNealy, Maverick",150,+8938,+8000,-0.104,+7000,-0.214,+9000,0.007,+8000,-0.104,+9000,0.007,+7000,-0.214,+9000,0.007,,0.00,+9000,0.007,+7500,-0.159,+8000,-0.104,+8000,-0.104,+6600,-0.259,,0.00,+8962,0.003
"McCarthy, Denny",150,+11164,+10000,-0.103,+9000,-0.192,+12500,0.119,+10000,-0.103,+9000,-0.192,+10000,-0.103,+12000,0.074,,0.00,+12500,0.119,+11000,-0.015,+10000,-0.103,+12500,0.119,+10000,-0.103,,0.00,+9448,-0.152
"Fleetwood, Tommy",150,+17739,+11000,-0.378,+10000,-0.434,+15000,-0.154,+12500,-0.294,+9000,-0.490,+11000,-0.378,+15000,-0.154,,0.00,+15000,-0.154,+11000,-0.378,+12500,-0.294,+15000,-0.154,+10000,-0.434,,0.00,+13691,-0.227
"Harman, Brian",150,+20956,+12500,-0.402,+10000,-0.520,+20000,-0.045,+15000,-0.283,+10000,-0.520,+12000,-0.425,+20000,-0.045,,0.00,+20000,-0.045,+15000,-0.283,+12500,-0.402,+20000,-0.045,+12500,-0.402,,0.00,+18651,-0.109
"MacIntyre, Robert",150,+23450,+11000,-0.529,+10000,-0.571,+15000,-0.359,+15000,-0.359,+10000,-0.571,+11000,-0.529,+15000,-0.359,,0.00,+15000,-0.359,+12500,-0.465,+15000,-0.359,+15000,-0.359,+10000,-0.571,,0.00,+16888,-0.279
"Rai, Aaron",150,+24196,+15000,-0.379,+12500,-0.481,+25000,0.033,+20000,-0.173,+15000,-0.379,+15000,-0.379,+25000,0.033,,0.00,+25000,0.033,+15000,-0.379,+20000,-0.173,+22500,-0.070,,0.00,,0.00,+20458,-0.154
"Rodgers, Patrick",150,+32085,+17500,-0.453,+15000,-0.531,+30000,-0.065,+25000,-0.220,+15000,-0.531,+17000,-0.469,+27000,-0.158,,0.00,+27500,-0.142,+17500,-0.453,+20000,-0.375,+25000,-0.220,+15000,-0.531,,0.00,+19178,-0.401
"Kirk, Chris",150,+38062,+35000,-0.080,+32500,-0.146,+50000,0.313,+50000,0.313,+35000,-0.080,+35000,-0.080,+50000,0.313,,0.00,+50000,0.313,+40000,0.051,+25000,-0.342,+50000,0.313,+35000,-0.080,,0.00,+27403,-0.279
"Zalatoris, Will",150,+38294,+17500,-0.542,+15000,-0.607,+25000,-0.346,+20000,-0.476,+17500,-0.542,+17000,-0.555,+25000,-0.346,,0.00,+25000,-0.346,+25000,-0.346,+15000,-0.607,+25000,-0.346,,0.00,,0.00,+22217,-0.419
"Burns, Sam",150,+40345,+27500,-0.318,+20000,-0.503,+40000,-0.009,+30000,-0.256,+20000,-0.503,+25000,-0.379,+40000,-0.009,,0.00,+40000,-0.009,+27500,-0.318,+20000,-0.503,+40000,-0.009,+25000,-0.379,,0.00,+30612,-0.241
