player_name,fanduel_odds,dg_rank,owgr_rank
"Harman, Brian",17000,68,37
"Rai, Aaron",15000,40,27
"Taylor, Nick",15000,77,28
"Hughes, Mackenzie",12000,58,63
"Glover, Lucas",12000,45,43
"Bezuidenhout, Christiaan",12000,39,51
"Novak, Andrew",12000,79,79
"McCarthy, Denny",11000,34,50
"Davis, Cameron",10000,54,45
"Spaun, J.J.",10000,43,80
"Thompson, Davis",10000,44,52
"Conners, Corey",10000,33,48
"English, Harris",9000,86,35
"Berger, Daniel",9000,64,59
"Bhatia, Akshay",9000,37,31
"Poston, J.T.",8000,32,40
"Theegala, Sahith",8000,53,19
"Stevens, Samuel",8000,48,76
"Scott, Adam",7500,26,24
"Lee, Min Woo",6000,38,53
"Henley, Russell",6000,9,16
"McNealy, Maverick",5500,27,26
"Hovland, Viktor",5500,23,9
"Straka, Sepp",5000,15,17
"Burns, Sam",5000,17,25
"Detry, Thomas",5000,28,22
"Zalatoris, Will",5000,52,68
"Lowry, Shane",4500,14,18
"Day, Jason",4500,25,32
"MacIntyre, Robert",4500,20,14
"Fleetwood, Tommy",4000,11,12
"Finau, Tony",4000,24,30
"Hojgaard, Rasmus",4000,21,39
"Im, Sungjae",3500,13,21
"Aberg, Ludvig",2500,16,6
"Matsuyama, Hideki",2200,8,5
"Thomas, Justin",1800,7,11
"Morikawa, Collin",1400,5,4
"McIlroy, Rory",700,2,3
"Scheffler, Scottie",400,1,1
