player_name,sample_size,DG_odds,bet365_odds,bet365_ev,betfair_odds,betfair_ev,pointsbet_odds,pointsbet_ev,skybet_odds,skybet_ev,unibet_odds,unibet_ev,draftkings_odds,draftkings_ev,fanduel_odds,fanduel_ev,whill_odds,whill_ev,caesars_odds,caesars_ev,betmgm_odds,betmgm_ev,betonline_odds,betonline_ev,bovada_odds,bovada_ev,betway_odds,betway_ev,betcris_odds,betcris_ev,pinnacle_odds,pinnacle_ev,Timestamp
"Lowry, Shane",150,3128.0,2000.0,-0.349,1900,-0.38,2000,-0.349,1600.0,-0.473,1600,-0.473,2000.0,-0.349,2000,-0.349,1800.0,-0.411,2000.0,-0.349,2000.0,-0.349,2000.0,-0.349,2000.0,-0.349,1800,-0.411,1860.0,-0.393,,0.0,2025-02-24 10:47:48 PM EST
"Henley, Russell",150,3258.0,2000.0,-0.375,2000,-0.375,2200,-0.315,2000.0,-0.375,1400,-0.553,2200.0,-0.315,2200,-0.315,2000.0,-0.375,1800.0,-0.434,2000.0,-0.375,2200.0,-0.315,2000.0,-0.375,1800,-0.434,2060.0,-0.357,,0.0,2025-02-24 10:47:48 PM EST
"Im, Sungjae",150,3001.0,2200.0,-0.258,2000,-0.323,2200,-0.258,2000.0,-0.323,1800,-0.387,2200.0,-0.258,2200,-0.258,2200.0,-0.258,2200.0,-0.258,2500.0,-0.161,2800.0,-0.065,2200.0,-0.258,2000,-0.323,2152.0,-0.274,,0.0,2025-02-24 10:47:48 PM EST
"Pendrith, Taylor",150,3224.0,2800.0,-0.128,2200,-0.308,2800,-0.128,2500.0,-0.218,2800,-0.128,2800.0,-0.128,2800,-0.128,2500.0,-0.218,2000.0,-0.368,3000.0,-0.067,3000.0,-0.067,2500.0,-0.218,2500,-0.218,2664.0,-0.168,,0.0,2025-02-24 10:47:48 PM EST
"Straka, Sepp",150,3876.0,2500.0,-0.346,2200,-0.422,2500,-0.346,2200.0,-0.422,2200,-0.422,2500.0,-0.346,2500,-0.346,2200.0,-0.422,2500.0,-0.346,2200.0,-0.422,2500.0,-0.346,2000.0,-0.472,2000,-0.472,2464.0,-0.355,,0.0,2025-02-24 10:47:48 PM EST
"Kitayama, Kurt",150,5126.0,4500.0,-0.12,4000,-0.216,4000,-0.216,4500.0,-0.12,4000,-0.216,4000.0,-0.216,4000,-0.216,4000.0,-0.216,4000.0,-0.216,4500.0,-0.12,4000.0,-0.216,4500.0,-0.12,4000,-0.216,3370.0,-0.336,,0.0,2025-02-24 10:47:48 PM EST
"Berger, Daniel",150,4980.0,2200.0,-0.547,2000,-0.587,2800,-0.429,2200.0,-0.547,2200,-0.547,2800.0,-0.429,2800,-0.429,2000.0,-0.587,2500.0,-0.488,2500.0,-0.488,2200.0,-0.547,2000.0,-0.587,2000,-0.587,2559.0,-0.477,,0.0,2025-02-24 10:47:48 PM EST
"McCarthy, Denny",150,4027.0,3300.0,-0.176,3000,-0.249,3500,-0.128,3000.0,-0.249,2500,-0.37,3500.0,-0.128,3500,-0.128,3000.0,-0.249,3000.0,-0.249,3300.0,-0.176,3000.0,-0.249,4000.0,-0.006,2800,-0.297,2866.0,-0.281,,0.0,2025-02-24 10:47:48 PM EST
"Thompson, Davis",150,4273.0,4000.0,-0.062,3300,-0.223,4000,-0.062,3500.0,-0.177,4000,-0.062,4000.0,-0.062,4000,-0.062,3500.0,-0.177,4000.0,-0.062,4000.0,-0.062,4000.0,-0.062,4000.0,-0.062,3300,-0.223,3067.0,-0.276,,0.0,2025-02-24 10:47:48 PM EST
"Griffin, Ben",150,4374.0,5000.0,0.14,4000,-0.084,4500,0.028,4000.0,-0.084,4500,0.028,4000.0,-0.084,4500,0.028,4500.0,0.028,3300.0,-0.24,4000.0,-0.084,4500.0,0.028,4000.0,-0.084,4000,-0.084,4074.0,-0.067,,0.0,2025-02-24 10:47:48 PM EST
