player_name,primary_tour,dg_rank,dg_change,owgr_rank,owgr_change,dg_index
"Scheffler, Scottie",PGA Tour,1,0,1,0,2.759
"McIlroy, Rory",PGA Tour,2,0,3,0,2.096
"Schauffele, Xander",PGA Tour,3,0,2,0,2.026
"Rahm, Jon",LIV Golf,4,0,54,-2,1.889
"Morikawa, Collin",PGA Tour,5,0,5,0,1.827
"Thomas, Justin",PGA Tour,6,0,9,0,1.677
"Hatton, Tyrrell",DP World Tour,7,0,8,0,1.654
"Matsuyama, Hideki",PGA Tour,8,0,6,0,1.613
"Fleetwood, Tommy",PGA Tour,9,0,10,0,1.558
"Cantlay, Patrick",PGA Tour,10,0,12,0,1.544
"Aberg, Ludvig",PGA Tour,11,0,4,0,1.473
"DeChambeau, Bryson",LIV Golf,12,0,11,2,1.413
"Niemann, Joaquin",LIV Golf,13,0,74,-1,1.4
"Henley, Russell",PGA Tour,14,0,17,0,1.367
"Im, Sungjae",PGA Tour,15,0,22,0,1.266
"Lowry, Shane",PGA Tour,16,0,18,1,1.253
"Burns, Sam",PGA Tour,17,0,28,-1,1.239
"Finau, Tony",PGA Tour,18,0,27,-1,1.214
"McNealy, Maverick",PGA Tour,19,0,13,1,1.213
"Bhatia, Akshay",PGA Tour,20,4,29,1,1.071
"McCarthy, Denny",PGA Tour,21,-1,36,2,1.041
"Straka, Sepp",PGA Tour,22,-1,19,-1,1.035
"Pendrith, Taylor",PGA Tour,23,-1,40,-1,1.021
"MacIntyre, Robert",PGA Tour,24,-1,16,0,1.019
"Kim, Tom",PGA Tour,25,0,25,-1,0.967
"Hovland, Viktor",PGA Tour,26,0,14,-3,0.958
"Scott, Adam",PGA Tour,27,0,26,-1,0.955
"Rai, Aaron",PGA Tour,28,10,24,5,0.954
"Bradley, Keegan",PGA Tour,29,-1,15,0,0.95
"Kim, Si Woo",PGA Tour,30,-1,65,-1,0.939
"Noren, Alex",PGA Tour,31,-1,61,-1,0.935
"Conners, Corey",PGA Tour,32,-1,50,-1,0.918
"Greyserman, Max",PGA Tour,33,-1,35,1,0.898
"Day, Jason",PGA Tour,34,-1,33,0,0.866
"Garcia, Sergio",LIV Golf,35,-1,489,-2,0.855
"Poston, J.T.",PGA Tour,36,-1,39,1,0.831
"Griffin, Ben",PGA Tour,37,17,57,8,0.82
"Thompson, Davis",PGA Tour,38,-1,48,0,0.814
"Hojgaard, Rasmus",DP World Tour,39,-3,45,-2,0.799
"Bezuidenhout, Christiaan",PGA Tour,40,0,51,0,0.762
"Spaun, J.J.",PGA Tour,41,0,81,0,0.758
"Glover, Lucas",PGA Tour,42,0,41,0,0.753
"Detry, Thomas",PGA Tour,43,0,23,0,0.747
"Hall, Harry",PGA Tour,44,-5,88,1,0.744
