player_name,primary_tour,dg_rank,dg_change,owgr_rank,owgr_change,dg_index,Timestamp
"Scheffler, Scottie",PGA Tour,1,0,1.0,0,2.763,2025_02_17_07_20_48_PM_EST
"McIlroy, Rory",PGA Tour,2,0,3.0,0,2.101,2025_02_17_07_20_48_PM_EST
"Schauffele, Xander",PGA Tour,3,0,2.0,0,2.03,2025_02_17_07_20_48_PM_EST
"Rahm, Jon",LIV Golf,4,0,52.0,-3,1.891,2025_02_17_07_20_48_PM_EST
"Morikawa, Collin",PGA Tour,5,0,5.0,-1,1.831,2025_02_17_07_20_48_PM_EST
"Thomas, Justin",PGA Tour,6,1,9.0,2,1.681,2025_02_17_07_20_48_PM_EST
"Hatton, Tyrrell",DP World Tour,7,-1,8.0,0,1.657,2025_02_17_07_20_48_PM_EST
"Matsuyama, Hideki",PGA Tour,8,0,6.0,-1,1.617,2025_02_17_07_20_48_PM_EST
"Fleetwood, Tommy",PGA Tour,9,2,10.0,2,1.563,2025_02_17_07_20_48_PM_EST
"Cantlay, Patrick",PGA Tour,10,2,12.0,3,1.547,2025_02_17_07_20_48_PM_EST
"Aberg, Ludvig",PGA Tour,11,5,4.0,2,1.475,2025_02_17_07_20_48_PM_EST
"DeChambeau, Bryson",LIV Golf,12,-2,13.0,-3,1.413,2025_02_17_07_20_48_PM_EST
"Niemann, Joaquin",LIV Golf,13,5,73.0,1,1.4,2025_02_17_07_20_48_PM_EST
"Henley, Russell",PGA Tour,14,-5,17.0,-1,1.371,2025_02_17_07_20_48_PM_EST
"Im, Sungjae",PGA Tour,15,-2,22.0,-1,1.271,2025_02_17_07_20_48_PM_EST
"Lowry, Shane",PGA Tour,16,-2,19.0,-1,1.258,2025_02_17_07_20_48_PM_EST
"Burns, Sam",PGA Tour,17,0,27.0,-2,1.243,2025_02_17_07_20_48_PM_EST
"Finau, Tony",PGA Tour,18,5,26.0,4,1.218,2025_02_17_07_20_48_PM_EST
"McNealy, Maverick",PGA Tour,19,8,14.0,12,1.217,2025_02_17_07_20_48_PM_EST
"McCarthy, Denny",PGA Tour,20,14,38.0,12,1.045,2025_02_17_07_20_48_PM_EST
"Straka, Sepp",PGA Tour,21,-6,18.0,-1,1.039,2025_02_17_07_20_48_PM_EST
"MacIntyre, Robert",PGA Tour,22,-2,16.0,-2,1.024,2025_02_17_07_20_48_PM_EST
"Pendrith, Taylor",PGA Tour,23,-4,39.0,-1,1.023,2025_02_17_07_20_48_PM_EST
"Bhatia, Akshay",PGA Tour,24,13,30.0,1,0.984,2025_02_17_07_20_48_PM_EST
"Kim, Tom",PGA Tour,25,-3,24.0,-1,0.971,2025_02_17_07_20_48_PM_EST
"Hovland, Viktor",PGA Tour,26,-2,11.0,-2,0.962,2025_02_17_07_20_48_PM_EST
"Scott, Adam",PGA Tour,27,-1,25.0,-1,0.959,2025_02_17_07_20_48_PM_EST
"Bradley, Keegan",PGA Tour,28,1,15.0,-2,0.953,2025_02_17_07_20_48_PM_EST
"Kim, Si Woo",PGA Tour,29,2,64.0,2,0.944,2025_02_17_07_20_48_PM_EST
"Noren, Alex",PGA Tour,30,0,60.0,1,0.939,2025_02_17_07_20_48_PM_EST
"Conners, Corey",PGA Tour,31,2,49.0,-1,0.922,2025_02_17_07_20_48_PM_EST
"Greyserman, Max",PGA Tour,32,3,36.0,-2,0.902,2025_02_17_07_20_48_PM_EST
"Day, Jason",PGA Tour,33,-8,33.0,-1,0.869,2025_02_17_07_20_48_PM_EST
"Garcia, Sergio",LIV Golf,34,2,487.0,-4,0.855,2025_02_17_07_20_48_PM_EST
"Poston, J.T.",PGA Tour,35,-3,40.0,0,0.835,2025_02_17_07_20_48_PM_EST
"Hojgaard, Rasmus",DP World Tour,36,-15,43.0,-4,0.831,2025_02_17_07_20_48_PM_EST
"Thompson, Davis",PGA Tour,37,7,48.0,4,0.818,2025_02_17_07_20_48_PM_EST
"Rai, Aaron",PGA Tour,38,2,29.0,-2,0.784,2025_02_17_07_20_48_PM_EST
"Hall, Harry",PGA Tour,39,2,89.0,-1,0.774,2025_02_17_07_20_48_PM_EST
"Bezuidenhout, Christiaan",PGA Tour,40,-1,51.0,0,0.766,2025_02_17_07_20_48_PM_EST
"Spaun, J.J.",PGA Tour,41,2,81.0,-1,0.763,2025_02_17_07_20_48_PM_EST
"Glover, Lucas",PGA Tour,42,3,41.0,2,0.758,2025_02_17_07_20_48_PM_EST
"Detry, Thomas",PGA Tour,43,-15,23.0,-1,0.751,2025_02_17_07_20_48_PM_EST
"Lee, Min Woo",PGA Tour,44,-6,55.0,-2,0.741,2025_02_17_07_20_48_PM_EST
"Puig, David",LIV Golf,45,13,83.0,-2,0.737,2025_02_17_07_20_48_PM_EST
"Theegala, Sahith",PGA Tour,46,7,20.0,-1,0.736,2025_02_17_07_20_48_PM_EST
"Stevens, Samuel",PGA Tour,47,1,76.0,0,0.721,2025_02_17_07_20_48_PM_EST
"Berger, Daniel",PGA Tour,48,15,53.0,6,0.72,2025_02_17_07_20_48_PM_EST
"Zalatoris, Will",PGA Tour,49,2,66.0,2,0.717,2025_02_17_07_20_48_PM_EST
