iteration,score,rank_score
0,7926.184733161957,4534
1,5724.556743345733,3656
2,10625.67077293818,4562
3,6665.672978473932,3775
4,7032.11698738432,4286
5,5901.307352827701,3907
6,8536.493803289788,4471
7,5561.879458662331,3732
8,7592.230498758368,3858
9,7092.5221602939755,4195
10,6491.00824352402,4082
11,5987.224557508901,4120
12,5906.060783771691,4028
13,7293.1014519670625,4493
14,7077.197184461713,3955
15,7377.782521570157,4149
16,11143.152511792912,4044
17,6794.868076152688,3835
18,5756.998131892958,3921
19,6888.876142099496,4012
20,8720.770739138447,4230
21,5666.96316670063,4195
22,8460.24024160378,4228
23,7517.386605701567,3901
24,6181.967103684205,4099
25,9467.598338266242,4202
26,8430.475874315667,3781
27,11473.85468571982,4767
28,7897.110265629431,4324
29,6736.833937465488,3918
30,5903.010060862829,3609
31,6994.462384775138,4564
32,7546.465649802221,3917
33,5713.423452233619,4113
34,8679.93646451976,4441
35,9824.558159489212,4288
36,7676.617178292448,4356
37,11627.033043824355,4499
38,6004.423827830081,3597
39,9686.883770659777,4435
40,6884.920906962758,3810
41,8650.514616416327,4582
42,6626.5415183858195,3558
43,8331.924010679395,4426
44,10453.64624552158,4286
45,8386.973643264166,4393
46,6616.769759178436,4342
47,8045.274727587134,3651
48,7783.808224169339,4028
49,6152.786426353878,4103
50,6546.353478516049,4196
51,5869.657227412288,4375
52,9856.734629552424,4698
53,8009.127298967834,4506
54,6128.501844879452,3779
55,7992.316778641012,3792
56,7570.905564186433,3832
57,6137.385804010496,3975
58,9899.51823841598,4311
59,6433.749068193548,3809
60,6819.3877220225595,3649
61,8979.518776544619,4478
62,7722.634671063176,4017
63,8293.953197056802,4550
64,6511.660370462991,3814
65,6257.577225383678,3782
66,6262.611318506859,3358
67,7062.1133285829055,4015
68,6927.141427490083,3421
69,7928.662450432374,3893
70,5806.290459050366,3737
71,4402.460873342861,3688
72,6445.176969875422,4479
73,7082.946826730245,3992
74,6732.452293511914,4015
75,8510.602484787485,4718
76,7408.93184258859,4024
77,6006.4530586616,3673
78,9122.261826261187,3818
79,8458.586951198955,4349
80,9060.21201603171,3573
81,10160.683114801075,4229
82,7798.091845187816,4322
83,7743.789857586195,4254
84,7676.55352252568,4106
85,10029.744827699473,4117
86,9652.586678146794,4524
87,7939.08363023525,4376
88,8054.203402946305,4400
89,8856.484244635809,3810
90,5627.900754392244,3782
91,7958.577023667637,4268
92,6547.390051207701,3478
93,8033.9892229400075,3991
94,7897.539307343268,3658
95,6901.547080569035,3953
