player_name,sample_size,DG_odds,bet365_odds,bet365_ev,betfair_odds,betfair_ev,pointsbet_odds,pointsbet_ev,skybet_odds,skybet_ev,unibet_odds,unibet_ev,draftkings_odds,draftkings_ev,fanduel_odds,fanduel_ev,whill_odds,whill_ev,caesars_odds,caesars_ev,betmgm_odds,betmgm_ev,betonline_odds,betonline_ev,bovada_odds,bovada_ev,betway_odds,betway_ev,betcris_odds,betcris_ev,pinnacle_odds,pinnacle_ev,Timestamp
"Hojgaard, Rasmus",150,2224.0,1800.0,-0.182,1300.0,-0.398,1800,-0.182,1800.0,-0.182,2000.0,-0.096,1800.0,-0.182,1800,-0.182,1800.0,-0.182,2000.0,-0.096,1800.0,-0.182,1800.0,-0.182,1800.0,-0.182,1800.0,-0.182,,0.0,,0.0,2025_02_17_04_49_40_PM_EST
"Bhatia, Akshay",150,1991.0,1400.0,-0.283,1100.0,-0.426,1400,-0.283,1400.0,-0.283,1200.0,-0.378,1400.0,-0.283,1400,-0.283,1200.0,-0.378,1400.0,-0.283,1400.0,-0.283,1400.0,-0.283,1200.0,-0.378,1200.0,-0.378,,0.0,,0.0,2025_02_17_04_49_40_PM_EST
"Kitayama, Kurt",150,3164.0,2200.0,-0.295,1700.0,-0.449,2000,-0.357,2000.0,-0.357,2000.0,-0.357,2000.0,-0.357,2000,-0.357,2000.0,-0.357,2200.0,-0.295,2200.0,-0.295,1800.0,-0.418,1800.0,-0.418,2000.0,-0.357,,0.0,,0.0,2025_02_17_04_49_40_PM_EST
"Moore, Taylor",150,2873.0,2800.0,-0.025,2200.0,-0.226,2500,-0.126,2500.0,-0.126,2500.0,-0.126,2500.0,-0.126,2500,-0.126,2500.0,-0.126,2200.0,-0.226,2500.0,-0.126,2500.0,-0.126,3000.0,0.043,2500.0,-0.126,,0.0,,0.0,2025_02_17_04_49_40_PM_EST
"Rodgers, Patrick",150,3497.0,2200.0,-0.361,2000.0,-0.416,2200,-0.361,2000.0,-0.416,2200.0,-0.361,2200.0,-0.361,2200,-0.361,2200.0,-0.361,2200.0,-0.361,2200.0,-0.361,2200.0,-0.361,2200.0,-0.361,2200.0,-0.361,,0.0,,0.0,2025_02_17_04_49_40_PM_EST
"Stevens, Samuel",150,2810.0,2200.0,-0.21,1800.0,-0.347,2200,-0.21,2200.0,-0.21,2200.0,-0.21,2200.0,-0.21,2200,-0.21,2200.0,-0.21,2200.0,-0.21,2200.0,-0.21,2200.0,-0.21,2200.0,-0.21,2200.0,-0.21,,0.0,,0.0,2025_02_17_04_49_40_PM_EST
"Jaeger, Stephan",150,4167.0,2500.0,-0.391,2200.0,-0.461,3000,-0.274,2500.0,-0.391,2000.0,-0.508,2800.0,-0.32,3000,-0.274,2500.0,-0.391,2500.0,-0.391,2500.0,-0.391,2800.0,-0.32,2200.0,-0.461,2200.0,-0.461,,0.0,,0.0,2025_02_17_04_49_40_PM_EST
"Rai, Aaron",150,2929.0,3000.0,0.024,2000.0,-0.307,3000,0.024,2500.0,-0.142,2500.0,-0.142,3000.0,0.024,3000,0.024,2800.0,-0.043,2800.0,-0.043,2800.0,-0.043,3000.0,0.024,3500.0,0.189,2500.0,-0.142,,0.0,,0.0,2025_02_17_04_49_40_PM_EST
"Griffin, Ben",150,3083.0,3000.0,-0.026,2200.0,-0.277,3300,0.068,3300.0,0.068,3300.0,0.068,3000.0,-0.026,3300,0.068,3300.0,0.068,3500.0,0.131,3300.0,0.068,3500.0,0.131,3000.0,-0.026,3300.0,0.068,,0.0,,0.0,2025_02_17_04_49_40_PM_EST
"Kim, Michael",150,3664.0,2800.0,-0.23,2200.0,-0.389,2500,-0.309,2800.0,-0.23,2800.0,-0.23,2500.0,-0.309,2500,-0.309,2500.0,-0.309,2200.0,-0.389,2800.0,-0.23,2500.0,-0.309,2800.0,-0.23,2500.0,-0.309,,0.0,,0.0,2025_02_17_04_49_40_PM_EST
