player_name,primary_tour,dg_rank,dg_change,owgr_rank,owgr_change,dg_index
"Scheffler, Scottie",PGA Tour,1,0,1,0,2.752
"McIlroy, Rory",PGA Tour,2,0,2,1,2.095
"Schauffele, Xander",PGA Tour,3,0,3,-1,2.017
"Rahm, Jon",LIV Golf,4,0,58,-4,1.888
"Morikawa, Collin",PGA Tour,5,0,5,0,1.819
"Thomas, Justin",PGA Tour,6,0,8,1,1.67
"Hatton, Tyrrell",DP World Tour,7,0,9,-1,1.654
"Matsuyama, Hideki",PGA Tour,8,0,6,0,1.604
"Fleetwood, Tommy",PGA Tour,9,0,10,0,1.556
"Cantlay, Patrick",PGA Tour,10,0,13,-1,1.536
"Aberg, Ludvig",PGA Tour,11,0,4,0,1.466
"Henley, Russell",PGA Tour,12,2,14,3,1.432
"DeChambeau, Bryson",LIV Golf,13,-1,11,0,1.409
"Niemann, Joaquin",LIV Golf,14,-1,77,-3,1.398
"Lowry, Shane",PGA Tour,15,1,17,1,1.291
"Burns, Sam",PGA Tour,16,1,28,0,1.231
"McNealy, Maverick",PGA Tour,17,1,12,1,1.207
"Finau, Tony",PGA Tour,18,1,27,0,1.206
"Im, Sungjae",PGA Tour,19,-4,22,0,1.204
"Straka, Sepp",PGA Tour,20,2,18,1,1.092
"Bhatia, Akshay",PGA Tour,21,-1,30,-1,1.063
"MacIntyre, Robert",PGA Tour,22,1,19,-3,1.016
"Greyserman, Max",PGA Tour,23,10,35,0,0.969
"Pendrith, Taylor",PGA Tour,24,0,40,0,0.969
"Kim, Tom",PGA Tour,25,0,26,-1,0.961
"Griffin, Ben",PGA Tour,26,11,48,9,0.961
"McCarthy, Denny",PGA Tour,27,-6,38,-2,0.96
"Hovland, Viktor",PGA Tour,28,-2,15,-1,0.951
"Scott, Adam",PGA Tour,29,-2,24,2,0.95
"Rai, Aaron",PGA Tour,30,-2,25,-1,0.949
"Bradley, Keegan",PGA Tour,31,-2,16,-1,0.942
"Kim, Si Woo",PGA Tour,32,-2,71,-6,0.932
"Noren, Alex",PGA Tour,33,-2,60,1,0.93
"Spaun, J.J.",PGA Tour,34,7,56,25,0.93
"Conners, Corey",PGA Tour,35,-3,50,0,0.911
"Day, Jason",PGA Tour,36,-2,34,-1,0.86
"Garcia, Sergio",LIV Golf,37,-2,499,-10,0.851
"Kim, Michael",PGA Tour,38,12,68,11,0.836
"Lee, Min Woo",PGA Tour,39,6,55,0,0.829
"Poston, J.T.",PGA Tour,40,-4,39,0,0.823
"Hojgaard, Rasmus",DP World Tour,41,-2,46,-1,0.8
"Thompson, Davis",PGA Tour,42,-4,51,-3,0.75
"Berger, Daniel",PGA Tour,43,5,53,-1,0.748
"Detry, Thomas",PGA Tour,44,-1,23,0,0.742
"Puig, David",LIV Golf,45,1,86,-3,0.736
"Bezuidenhout, Christiaan",PGA Tour,46,-6,54,-3,0.734
"Theegala, Sahith",PGA Tour,47,0,21,0,0.725
"Glover, Lucas",PGA Tour,48,-6,44,-3,0.715
"Hall, Harry",PGA Tour,49,-5,94,-6,0.709
"Zalatoris, Will",PGA Tour,50,-1,70,-4,0.706
"Clark, Wyndham",PGA Tour,51,0,7,0,0.694
"Koepka, Brooks",LIV Golf,52,0,172,-16,0.678
"Taylor, Nick",PGA Tour,53,0,29,1,0.653
"Harman, Brian",PGA Tour,54,2,37,0,0.653
"Horschel, Billy",PGA Tour,55,5,20,0,0.648
"Rodgers, Patrick",PGA Tour,56,10,72,1,0.641
"Jaeger, Stephan",PGA Tour,57,-3,43,-1,0.637
"Canter, Laurie",DP World Tour,58,20,42,11,0.63
"Ancer, Abraham",LIV Golf,59,-4,465,-8,0.628
"Leishman, Marc",LIV Golf,60,-2,437,-10,0.599
"Putnam, Andrew",PGA Tour,61,16,131,15,0.592
"Stevens, Sam",PGA Tour,62,-1,79,-3,0.59
"Burmester, Dean",LIV Golf,63,-6,137,-5,0.568
"Moore, Taylor",PGA Tour,64,1,82,-4,0.558
"Fitzpatrick, Matt",PGA Tour,65,2,61,-1,0.546
"Smalley, Alex",PGA Tour,66,13,129,8,0.538
"Smith, Cameron",LIV Golf,67,2,104,-6,0.531
"Hossler, Beau",PGA Tour,68,5,85,-3,0.528
"English, Harris",PGA Tour,69,1,33,1,0.527
"Kitayama, Kurt",PGA Tour,70,-7,98,-9,0.521
"Davis, Cameron",PGA Tour,71,0,49,0,0.509
"Spieth, Jordan",PGA Tour,72,24,64,6,0.508
"Novak, Andrew",PGA Tour,73,-14,80,-3,0.504
"Bridgeman, Jacob",PGA Tour,74,33,112,93,0.5
"Norgaard, Niklas",DP World Tour,75,9,90,0,0.498
"Power, Seamus",PGA Tour,76,-14,120,-1,0.495
"Ghim, Doug",PGA Tour,77,20,99,6,0.482
"Mitchell, Keith",PGA Tour,78,-4,101,-1,0.482
"Fowler, Rickie",PGA Tour,79,12,95,0,0.479
"Oosthuizen, Louis",LIV Golf,80,-5,238,-4,0.478
"Hodges, Lee",PGA Tour,81,-5,91,-5,0.473
"Highsmith, Joe",PGA Tour,82,41,59,111,0.464
"An, Byeong Hun",PGA Tour,83,-19,32,0,0.456
"Eckroat, Austin",PGA Tour,84,-16,45,-1,0.448
"Kuchar, Matt",PGA Tour,85,-13,133,-4,0.442
"McKibbin, Tom",DP World Tour,86,-5,118,-3,0.427
"Hojgaard, Nicolai",DP World Tour,87,17,69,-1,0.421
"McGreevy, Max",Korn Ferry Tour,88,28,81,12,0.42
"Clanton, Luke",PGA Tour,89,14,92,2,0.419
"Dunlap, Nick",PGA Tour,90,-7,31,0,0.419
"Young, Cameron",PGA Tour,91,-9,52,-5,0.41
"Tringale, Cameron",LIV Golf,92,-6,null,0,0.408
"Reed, Patrick",LIV Golf,93,-5,121,-1,0.392
"Gerard, Ryan",PGA Tour,94,11,178,11,0.389
"Campbell, Brian",Korn Ferry Tour,95,-8,102,-5,0.381
"Ortiz, Carlos",LIV Golf,96,-4,381,-3,0.377
"Olesen, Thorbjorn",DP World Tour,97,-12,83,-3,0.377
"Munoz, Sebastian",LIV Golf,98,-4,null,0,0.372
"Neergaard-Petersen, Rasmus",DP World Tour,99,-4,88,-3,0.371
"Lower, Justin",PGA Tour,100,-10,87,-3,0.347
"Casey, Paul",LIV Golf,101,-3,null,0,0.341
"Bland, Richard",LIV Golf,102,-3,null,0,0.331
"Woodland, Gary",PGA Tour,103,-10,180,-6,0.317
"Smith, Jordan",DP World Tour,104,-4,107,-3,0.315
"Vegas, Jhonattan",PGA Tour,105,-16,65,-3,0.314
