player_name,sample_size,DG_odds,bet365_odds,bet365_ev,betfair_odds,betfair_ev,pointsbet_odds,pointsbet_ev,skybet_odds,skybet_ev,unibet_odds,unibet_ev,draftkings_odds,draftkings_ev,fanduel_odds,fanduel_ev,whill_odds,whill_ev,caesars_odds,caesars_ev,betmgm_odds,betmgm_ev,betonline_odds,betonline_ev,bovada_odds,bovada_ev,betway_odds,betway_ev,betcris_odds,betcris_ev,pinnacle_odds,pinnacle_ev,Timestamp
"Scheffler, Scottie",150,573.0,425.0,-0.22,400,-0.257,400,-0.257,400.0,-0.257,450,-0.183,400.0,-0.257,400,-0.257,400,-0.257,400,-0.257,400,-0.257,525.0,-0.072,450,-0.183,400,-0.257,525,-0.072,502.0,-0.106,2025-02-11 01:47:20 PM EST
"McIlroy, Rory",150,1241.0,700.0,-0.403,650,-0.441,700,-0.403,750.0,-0.366,750,-0.366,700.0,-0.403,700,-0.403,700,-0.403,700,-0.403,700,-0.403,750.0,-0.366,750,-0.366,700,-0.403,765,-0.355,762.0,-0.357,2025-02-11 01:47:20 PM EST
"Thomas, Justin",150,2199.0,1800.0,-0.174,1600,-0.261,1800,-0.174,1800.0,-0.174,1600,-0.261,1800.0,-0.174,1800,-0.174,1800,-0.174,1400,-0.348,1800,-0.174,1900.0,-0.13,1800,-0.174,1600,-0.261,2052,-0.064,1864.0,-0.146,2025-02-11 01:47:20 PM EST
"Morikawa, Collin",150,1870.0,1400.0,-0.238,1300,-0.289,1400,-0.238,1400.0,-0.238,1400,-0.238,1400.0,-0.238,1400,-0.238,1400,-0.238,1400,-0.238,1400,-0.238,1700.0,-0.086,1200,-0.34,1400,-0.238,1600,-0.137,1616.0,-0.129,2025-02-11 01:47:20 PM EST
"Matsuyama, Hideki",150,3450.0,2000.0,-0.408,1800,-0.465,2200,-0.352,2200.0,-0.352,1800,-0.465,2000.0,-0.408,2200,-0.352,2200,-0.352,2200,-0.352,2500,-0.268,2500.0,-0.268,2500,-0.268,2000,-0.408,2502,-0.267,2416.0,-0.291,2025-02-11 01:47:20 PM EST
"Im, Sungjae",150,3791.0,3300.0,-0.126,3000,-0.203,3500,-0.075,2800.0,-0.255,2800,-0.255,3500.0,-0.075,3500,-0.075,3300,-0.126,2800,-0.255,3000,-0.203,3500.0,-0.075,3500,-0.075,2500,-0.332,3853,0.016,3469.0,-0.083,2025-02-11 01:47:20 PM EST
"Hojgaard, Rasmus",150,4551.0,3500.0,-0.226,3300,-0.269,4000,-0.119,4000.0,-0.119,4000,-0.119,4000.0,-0.119,4000,-0.119,4000,-0.119,2800,-0.377,4000,-0.119,4000.0,-0.119,4000,-0.119,4000,-0.119,4253,-0.064,4022.0,-0.114,2025-02-11 01:47:20 PM EST
"Pendrith, Taylor",150,5518.0,3300.0,-0.395,3300,-0.395,3500,-0.359,3500.0,-0.359,3300,-0.395,4000.0,-0.27,4000,-0.27,3300,-0.395,3500,-0.359,3300,-0.395,4000.0,-0.27,3500,-0.359,2800,-0.484,3853,-0.296,3872.0,-0.293,2025-02-11 01:47:20 PM EST
"Cantlay, Patrick",150,4010.0,2800.0,-0.294,2500,-0.367,3300,-0.173,2800.0,-0.294,2200,-0.44,3000.0,-0.246,3300,-0.173,2500,-0.367,2800,-0.294,2800,-0.294,3500.0,-0.124,3000,-0.246,2500,-0.367,2852,-0.282,3474.0,-0.13,2025-02-11 01:47:20 PM EST
"MacIntyre, Robert",150,3927.0,4000.0,0.018,3500,-0.106,4500,0.142,4000.0,0.018,4000,0.018,4000.0,0.018,4500,0.142,4000,0.018,3500,-0.106,4500,0.142,4500.0,0.142,4000,0.018,3300,-0.156,4653,0.18,4879.0,0.236,2025-02-11 01:47:20 PM EST
"Aberg, Ludvig",150,5055.0,2500.0,-0.496,2000,-0.593,2500,-0.496,2500.0,-0.496,2200,-0.554,2500.0,-0.496,2500,-0.496,2200,-0.554,1800,-0.631,2200,-0.554,2800.0,-0.437,2000,-0.593,2200,-0.554,2850,-0.428,2816.0,-0.434,2025-02-11 01:47:20 PM EST
"Fleetwood, Tommy",150,3889.0,3500.0,-0.098,3300,-0.148,4000,0.028,3300.0,-0.148,3300,-0.148,3500.0,-0.098,4000,0.028,3300,-0.148,4000,0.028,3500,-0.098,4000.0,0.028,4000,0.028,3300,-0.148,3052,-0.21,4326.0,0.109,2025-02-11 01:47:20 PM EST
"Kim, Tom",150,4207.0,4000.0,-0.048,4000,-0.048,5000,0.184,4000.0,-0.048,4000,-0.048,4500.0,0.068,5000,0.184,4000,-0.048,5000,0.184,4000,-0.048,5000.0,0.184,4000,-0.048,3300,-0.211,5054,0.197,4829.0,0.144,2025-02-11 01:47:20 PM EST
"McNealy, Maverick",150,6436.0,5000.0,-0.22,4500,-0.296,5500,-0.143,5000.0,-0.22,5000,-0.22,5000.0,-0.22,5500,-0.143,5000,-0.22,5000,-0.22,5000,-0.22,5500.0,-0.143,5000,-0.22,5000,-0.22,5504,-0.143,5330.0,-0.169,2025-02-11 01:47:20 PM EST
"Straka, Sepp",150,4164.0,4500.0,0.079,4000,-0.039,5000,0.196,4000.0,-0.039,5000,0.196,4500.0,0.079,5000,0.196,4500,0.079,5000,0.196,4500,0.079,5000.0,0.196,4500,0.079,4000,-0.039,4353,0.044,4627.0,0.108,2025-02-11 01:47:20 PM EST
"Lowry, Shane",150,5456.0,3500.0,-0.352,3500,-0.352,4500,-0.172,3500.0,-0.352,3300,-0.388,4000.0,-0.262,4500,-0.172,3500,-0.352,4500,-0.172,3500,-0.352,5000.0,-0.082,4000,-0.262,3300,-0.388,4253,-0.216,4426.0,-0.185,2025-02-11 01:47:20 PM EST
"Burns, Sam",150,5841.0,4000.0,-0.31,4000,-0.31,5000,-0.142,4000.0,-0.31,3300,-0.428,4500.0,-0.226,5000,-0.142,4000,-0.31,5000,-0.142,4000,-0.31,5000.0,-0.142,5500,-0.057,4000,-0.31,3853,-0.335,4276.0,-0.263,2025-02-11 01:47:20 PM EST
"Lee, Min Woo",150,6582.0,5500.0,-0.162,4500,-0.312,6000,-0.087,6000.0,-0.087,5500,-0.162,5500.0,-0.162,6000,-0.087,5500,-0.162,4500,-0.312,5000,-0.237,6000.0,-0.087,5500,-0.162,4000,-0.386,4754,-0.274,5596.0,-0.147,2025-02-11 01:47:20 PM EST
"Detry, Thomas",150,6443.0,4500.0,-0.297,4000,-0.373,5000,-0.221,5000.0,-0.221,5000,-0.221,4500.0,-0.297,5000,-0.221,5000,-0.221,4500,-0.297,4500,-0.297,6000.0,-0.068,5000,-0.221,4000,-0.373,5650,-0.121,5029.0,-0.216,2025-02-11 01:47:20 PM EST
"Day, Jason",150,7702.0,4000.0,-0.475,3500,-0.539,4500,-0.41,3300.0,-0.564,4000,-0.475,4500.0,-0.41,4500,-0.41,4000,-0.475,4000,-0.475,3500,-0.539,5500.0,-0.282,4500,-0.41,3300,-0.564,5354,-0.301,5029.0,-0.343,2025-02-11 01:47:20 PM EST
"Bradley, Keegan",150,8222.0,6000.0,-0.267,5000,-0.387,6000,-0.267,5500.0,-0.327,5500,-0.327,5500.0,-0.327,6000,-0.267,5500,-0.327,6000,-0.267,5000,-0.387,7000.0,-0.147,6000,-0.267,5000,-0.387,6550,-0.201,5988.0,-0.268,2025-02-11 01:47:20 PM EST
"Henley, Russell",150,5647.0,4500.0,-0.2,4500,-0.2,6000,0.061,4000.0,-0.287,3300,-0.408,5500.0,-0.026,6000,0.061,4500,-0.2,5500,-0.026,4500,-0.2,6000.0,0.061,5000,-0.113,4000,-0.287,5054,-0.103,5534.0,-0.02,2025-02-11 01:47:20 PM EST
"Finau, Tony",150,9562.0,4000.0,-0.576,3500,-0.627,4000,-0.576,4000.0,-0.576,4500,-0.524,4500.0,-0.524,4000,-0.576,3300,-0.648,3500,-0.627,3500,-0.627,5000.0,-0.472,4000,-0.576,3300,-0.648,5750,-0.395,4944.0,-0.478,2025-02-11 01:47:20 PM EST
